"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"473","ILK-A1-MIN-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A1-MIN-3B_S20","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","0.7 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"475","ILK-A2-MIN-2A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A2-MIN-2A_S1","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","1.4 t/ha Bottom wood ash","replicate  2A: amplicon 18S, ITS, BR5, F230"
"477","ILK-A2-MIN-2B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A2-MIN-2B_S2","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","1.4 t/ha Bottom wood ash","replicate  2B: amplicon 18S, ITS, BR5, F230"
"479","ILK-A3-FH-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-FH-3A_S23","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"481","ILK-A3-FH-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-FH-3B_S24","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"483","ILK-A3-LM-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-LM-3A_S21","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"485","ILK-A3-LM-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-LM-3B_S22","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"487","ILK-A3-MIN-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-MIN-3A_S25","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"489","ILK-A3-MIN-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A3-MIN-3B_S26","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"491","ILK-A4-FH-2A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-FH-2A_S5","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2A: amplicon 18S, ITS, BR5, F230"
"493","ILK-A4-FH-2B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-FH-2B_S6","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2B: amplicon 18S, ITS, BR5, F230"
"495","ILK-A4-FH-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-FH-3A_S29","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"497","ILK-A4-FH-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-FH-3B_S30","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
