"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"267","ALS-C-LFH-1","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","","replicate  1"
"270","SRD-A2-MIN-2","","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  2"
"271","ALN-A2-LFH-3","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  3"
"274","ALN-A1-LFH-3","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  3"
"275","ALN-C-LFH-3","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","","replicate  3"
"276","ALS-C-LFH-2","","","soil metagenome",2017,"~5.2 cm",643,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.071 N 122.08 W","","replicate  2"
"277","ALN-A2-LFH-2","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  2"
"279","ALN-A1-LFH-2","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  2"
"280","ALN-C-LFH-2","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","","replicate  2"
"281","ALN-A2-LFH-1","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha CPLP Bottom wood ash","replicate  1"
"287","MSK-A2-LFH-3","","","soil metagenome",2017,"5to 10 cm",691,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Satskatchewan","53.733 N 108.183 W","5 t/ha Bottom wood ash","replicate  3"
"288","MSK-A2-MIN-3","","","soil metagenome",2017,"0-10 cm",691,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Satskatchewan","53.733 N 108.183 W","5 t/ha Bottom wood ash","replicate  3"
"290","ALN-A1-LFH-1","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","5 t/ha UNBC Bottom wood ash","replicate  1"
"291","ALN-C-LFH-1","","","soil metagenome",2017,"~5.2 cm",620,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: British Columbia","54.086 N 122.09 W","","replicate  1"
"296","SRD-A2-LFH-2","","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  2"
"297","MSK-A1-MIN-3","","","soil metagenome",2017,"0-10 cm",691,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Satskatchewan","53.733 N 108.183 W","1 t/ha Bottom wood ash","replicate  3"
